city,bedrooms,city_center_dist_km,daily_price,weekends
London,1,3.313,594.79,1
London,1,7.396,243.19,1
London,1,3.627,377.71,1
Amsterdam,1,3.091,430.25,1
London,1,2.376,962.16,0
Amsterdam,1,2.379,614.44,1
London,2,5.685,516.71,1
London,2,2.104,975.09,0
Amsterdam,1,1.823,448.53,1
London,0,7.246,377.24,0
London,1,0.34,634.07,0
London,1,0.785,511.3,1
London,1,4.931,400.53,0
London,2,4.06,586.33,1
Amsterdam,3,2.188,858.15,1
Barcelona,1,2.358,445.46,0
London,1,3.195,534.58,0
London,2,1.733,1226.75,0
London,1,4.718,407.35,1
Amsterdam,1,2.285,454.85,1
London,3,5.106,670.05,1
London,0,7.695,257.77,0
London,1,5.801,412.29,1
Amsterdam,2,2.603,1166.55,1
London,2,5.812,343.85,0
Amsterdam,1,1.379,811.05,0
London,1,3.03,250.95,1
Amsterdam,1,0.568,823.47,1
Barcelona,3,0.748,810.16,0
London,1,7.185,243.19,1
Amsterdam,2,3.572,952.36,0
London,0,4.804,417.46,1
Amsterdam,1,2.62,307.45,1
London,2,4.129,336.32,0
London,0,4.428,350.2,0
Amsterdam,2,0.694,1425.96,1
Amsterdam,1,2.056,724.35,1
Amsterdam,1,1.763,373.77,1
London,2,1.352,641.83,1
London,1,3.071,315.62,1
London,1,4.783,336.79,0
London,1,8.441,427.81,1
Barcelona,1,2.555,603.95,1
London,1,3.069,315.62,1
London,1,5.533,465.91,0
Amsterdam,2,2.793,700.44,0
Barcelona,1,1.199,925.83,1
London,1,11.05,332.56,1
London,1,2.501,358.43,1
Barcelona,1,1.219,368.19,1
London,0,1.099,773.07,1
London,2,6.149,460.03,0
London,1,1.945,388.06,0
Barcelona,2,2.16,636.54,1
London,0,2.907,310.45,1
London,2,2.081,841.51,1
London,0,4.13,452.74,0
London,1,1.898,640.65,1
Amsterdam,1,3.513,473.13,1
London,0,3.969,396.53,0
London,0,1.401,343.85,0
London,0,4.543,407.35,1
Amsterdam,1,0.41,921.66,1
London,1,7.156,289.75,1
Amsterdam,1,1.305,589.83,0
London,2,2.402,734.73,1
London,1,7.507,353.25,1
London,3,9.254,426.63,1
London,1,11.316,322.44,1
London,0,2.583,265.53,1
London,2,6.605,903.36,0
London,2,6.038,543.05,1
London,1,4.567,484.49,0
London,1,6.67,253.53,0
London,1,2.958,499.31,0
London,0,3.84,240.6,0
Amsterdam,2,4.033,540.62,0
Amsterdam,1,1.557,344.25,1
Amsterdam,1,2.291,534.76,0
London,2,3.729,805.52,1
London,2,5.26,470.38,1
London,3,3.289,702.27,1
London,2,4.296,569.63,0
London,1,3.038,382.18,0
London,0,3.554,297.98,0
Amsterdam,2,2.583,442.67,0
Barcelona,2,2.298,514.81,1
Amsterdam,3,1.934,596.16,0
London,1,6.874,357.25,1
London,1,1.427,714.03,1
London,1,5.982,226.25,0
London,1,4.833,393.24,1
London,3,6.018,508.95,1
London,2,0.84,1453.47,1
London,2,4.03,568.22,0
London,1,3.043,664.88,1
Amsterdam,2,2.819,657.56,1
London,1,2.269,594.79,1
Amsterdam,1,1.898,571.56,1
London,1,7.914,238.48,1
London,1,3.422,396.76,1
London,1,0.967,813.99,0
Amsterdam,2,1.353,1049.38,0
London,1,6.421,333.5,1
London,1,2.347,525.65,0
London,1,3.623,464.03,1
London,1,5.817,646.77,1
London,1,3.326,314.21,1
London,0,3.527,302.69,1
